AppID:3201906018692, AppVersion: 9.5.1, CertStep: Verification ModelStatus: Dropped,ObjectID: 60d18a98a42212becb1d54be  
AppID:3201803016013, AppVersion: 9.5.1, CertStep: Verification ModelStatus: Dropped,ObjectID: 60d18a9ba42212becb1d54e2  
AppID:3201803015868, AppVersion: 9.5.1, CertStep: Verification ModelStatus: Dropped,ObjectID: 60d18a9ea42212becb1d5512  
AppID:3202002020141, AppVersion: 6.9.6, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18aa1a42212becb1d552f  
AppID:3201903018022, AppVersion: 6.3.0, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18aa4a42212becb1d5551  
AppID:3201612011392, AppVersion: 4.0.4, CertStep: Verification ModelStatus: Request Test,ObjectID: 60d18aa9a42212becb1d559d  
AppID:3201806016448, AppVersion: 3.0.7, CertStep: Verification ModelStatus: Request Test,ObjectID: 60d18aaca42212becb1d55be  
AppID:3202103023085, AppVersion: 1.0.4, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18aada42212becb1d55cb  
AppID:3202012022366, AppVersion: 2.1.0, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18ab0a42212becb1d55e8  
AppID:3201803015869, AppVersion: 9.5.1, CertStep: Verification ModelStatus: Dropped,ObjectID: 60d18ab2a42212becb1d560d  
AppID:3201809016887, AppVersion: 4.0.3, CertStep: Verification ModelStatus: Request Test,ObjectID: 60d18ab3a42212becb1d561e  
AppID:3201801015547, AppVersion: 2.2.3, CertStep: Verification ModelStatus: Testing,ObjectID: 60d18ab5a42212becb1d562b  
AppID:3201707014410, AppVersion: 1.0.3, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18ab7a42212becb1d5648  
AppID:3202104023562, AppVersion: 1.0.5, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18abfa42212becb1d56aa  
AppID:3201906018693, AppVersion: 9.5.1, CertStep: Verification ModelStatus: Dropped,ObjectID: 60d18ac4a42212becb1d56f3  
AppID:3201803015870, AppVersion: 9.5.1, CertStep: Verification ModelStatus: Dropped,ObjectID: 60d18ac5a42212becb1d5712  
AppID:3201901017732, AppVersion: 2.0.0, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18ac8a42212becb1d5733  
AppID:3201701011479, AppVersion: 3.1.2, CertStep: Verification ModelStatus: Testing,ObjectID: 60d18acda42212becb1d576c  
AppID:111199000390, AppVersion: 3.1.20, CertStep: Verification ModelStatus: Testing,ObjectID: 60d18acfa42212becb1d5795  
AppID:3202104023596, AppVersion: 1.0.9, CertStep: Verification ModelStatus: Dropped,ObjectID: 60d18ad0a42212becb1d579d  
AppID:3201906018557, AppVersion: 8.12.6, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18adba42212becb1d5832  
AppID:3202104023513, AppVersion: 1.10.0, CertStep: Verification ModelStatus: Request Test,ObjectID: 60d18ae3a42212becb1d58a6  
AppID:3202006021132, AppVersion: 9.0.95, CertStep: SP Review ModelStatus: No Data,ObjectID: 60d18ae4a42212becb1d58b4  
